Currency,Date,USD_per_unit
EUR,2025-03-01,1.08
GBP,2025-03-01,1.2806
ILS,2025-03-01,0.2907
USD,2025-03-01,1.0
EUR,2025-03-02,1.0792
GBP,2025-03-02,1.2841
ILS,2025-03-02,0.2906
USD,2025-03-02,1.0
EUR,2025-03-03,1.0776
GBP,2025-03-03,1.2853
ILS,2025-03-03,0.2856
USD,2025-03-03,1.0
EUR,2025-03-04,1.0667
GBP,2025-03-04,1.2908
ILS,2025-03-04,0.2837
USD,2025-03-04,1.0
EUR,2025-03-05,1.0772
GBP,2025-03-05,1.2874
ILS,2025-03-05,0.2901
USD,2025-03-05,1.0
EUR,2025-03-06,1.0755
GBP,2025-03-06,1.2871
ILS,2025-03-06,0.29
USD,2025-03-06,1.0
EUR,2025-03-07,1.0789
GBP,2025-03-07,1.2912
ILS,2025-03-07,0.2889
USD,2025-03-07,1.0
EUR,2025-03-08,1.0697
GBP,2025-03-08,1.294
ILS,2025-03-08,0.2891
USD,2025-03-08,1.0
EUR,2025-03-09,1.0725
GBP,2025-03-09,1.2881
ILS,2025-03-09,0.2868
USD,2025-03-09,1.0
EUR,2025-03-10,1.0772
GBP,2025-03-10,1.2917
ILS,2025-03-10,0.2908
USD,2025-03-10,1.0
EUR,2025-03-11,1.0834
GBP,2025-03-11,1.2819
ILS,2025-03-11,0.288
USD,2025-03-11,1.0
EUR,2025-03-12,1.0848
GBP,2025-03-12,1.2922
ILS,2025-03-12,0.2891
USD,2025-03-12,1.0
EUR,2025-03-13,1.0884
GBP,2025-03-13,1.2961
ILS,2025-03-13,0.2862
USD,2025-03-13,1.0
EUR,2025-03-14,1.0838
GBP,2025-03-14,1.2908
ILS,2025-03-14,0.2851
USD,2025-03-14,1.0
EUR,2025-03-15,1.0769
GBP,2025-03-15,1.2994
ILS,2025-03-15,0.2821
USD,2025-03-15,1.0
EUR,2025-03-16,1.0865
GBP,2025-03-16,1.293
ILS,2025-03-16,0.2799
USD,2025-03-16,1.0
EUR,2025-03-17,1.0808
GBP,2025-03-17,1.2774
ILS,2025-03-17,0.2856
USD,2025-03-17,1.0
EUR,2025-03-18,1.0835
GBP,2025-03-18,1.2864
ILS,2025-03-18,0.2836
USD,2025-03-18,1.0
EUR,2025-03-19,1.089
GBP,2025-03-19,1.2869
ILS,2025-03-19,0.2796
USD,2025-03-19,1.0
EUR,2025-03-20,1.0867
GBP,2025-03-20,1.3016
ILS,2025-03-20,0.2823
USD,2025-03-20,1.0
EUR,2025-03-21,1.0845
GBP,2025-03-21,1.2978
ILS,2025-03-21,0.2795
USD,2025-03-21,1.0
EUR,2025-03-22,1.0771
GBP,2025-03-22,1.2971
ILS,2025-03-22,0.2863
USD,2025-03-22,1.0
EUR,2025-03-23,1.0824
GBP,2025-03-23,1.2843
ILS,2025-03-23,0.2867
USD,2025-03-23,1.0
EUR,2025-03-24,1.077
GBP,2025-03-24,1.2874
ILS,2025-03-24,0.2812
USD,2025-03-24,1.0
EUR,2025-03-25,1.0875
GBP,2025-03-25,1.2944
ILS,2025-03-25,0.2809
USD,2025-03-25,1.0
EUR,2025-03-26,1.0821
GBP,2025-03-26,1.2894
ILS,2025-03-26,0.2808
USD,2025-03-26,1.0
EUR,2025-03-27,1.0672
GBP,2025-03-27,1.2872
ILS,2025-03-27,0.2792
USD,2025-03-27,1.0
EUR,2025-03-28,1.0742
GBP,2025-03-28,1.2911
ILS,2025-03-28,0.2773
USD,2025-03-28,1.0
EUR,2025-03-29,1.0887
GBP,2025-03-29,1.298
ILS,2025-03-29,0.276
USD,2025-03-29,1.0
EUR,2025-03-30,1.0792
GBP,2025-03-30,1.2878
ILS,2025-03-30,0.2754
USD,2025-03-30,1.0
EUR,2025-03-31,1.081
GBP,2025-03-31,1.2835
ILS,2025-03-31,0.2728
USD,2025-03-31,1.0
EUR,2025-04-01,1.0831
GBP,2025-04-01,1.2916
ILS,2025-04-01,0.2732
