Ticker,CompanyName,Exchange,Currency,Sector,Country
TEH,Prime Media PLC,FWB,USD,Consumer,NL
CWWFV,Prime Capital PLC,TASE,USD,Consumer,UK
BBYX,Prime Logistics Inc,LSE,ILS,Consumer,DE
POSSK,Nimbus Brands Ltd,TASE,GBP,Telecom,UK
mknxr,Nimbus Logistics Ltd,TASE,GBP,Consumer,UK
ZTSC,Alpha Brands PLC,NYSE,USD,Energy,NL
CSEG,Omega Pharma Corp,LSE,USD,Telecom,DE
OEJ,Beta AI PLC,LSE,USD,Energy,FR
RKTA,Apex Systems PLC,LSE,ILS,Telecom,FR
WRL,Quantum Pharma AG,TASE,USD,Utilities,UK
OOCZ,Quantum AI AG,FWB,GBP,Healthcare,DE
AITDJ,Nimbus Logistics Corp,LSE,USD,Technology,DE
SYQ,Prime Quantum Inc,TASE,USD,Consumer,NL
BTSV,Apex Systems Ltd,NYSE,USD,Utilities,IL
FDD,Nimbus Capital AG,FWB,USD,Healthcare,FR
TFNN,Nimbus Quantum Inc,NYSE,GBP,Technology,NL
IUGA,Gamma Systems Inc,FWB,EUR,Industrial,US
GNN,Delta Energy Inc,TASE,ILS,Financials,FR
DMBKK,Gamma Systems PLC,NASDAQ,ILS,Energy,NL
PQAYV,Vertex Logistics Ltd,FWB,GBP,Industrial,FR
GZUXF,Nimbus Capital Corp,NYSE,USD,Telecom,IL
QLRI,Prime Logistics PLC,TASE,USD,Technology,US
IMD,Quantum AI PLC,FWB,USD,Industrial,IL
ZIKTN,Vertex Capital Ltd,NASDAQ,GBP,Financials,US
ELSO,Omega Capital PLC,NASDAQ,ILS,Utilities,UK
JFG,Apex Media Corp,LSE,USD,Technology,NL
GBP,Alpha Systems Inc,LSE,ILS,Industrial,US
XPMCJ,Quantum Capital PLC,NYSE,USD,Energy,IL
XYKK,Prime AI Corp,FWB,ILS,Energy,FR
CES,Quantum Logistics Ltd,FWB,ILS,Healthcare,US
FNLLW,Prime Media Ltd,LSE,EUR,Industrial,NL
TARPY,Gamma Pharma Corp,FWB,EUR,Consumer,US
NLZBM,Alpha Brands AG,FWB,EUR,Industrial,DE
OJLHF,Alpha Energy PLC,NASDAQ,ILS,Utilities,FR
BMNSU,Vertex Energy PLC,LSE,GBP,Technology,NL
JHDE,Quantum Quantum Ltd,TASE,ILS,Technology,NL
QLRX,Vertex AI Inc,LSE,GBP,Utilities,UK
BTQGT,Nimbus Pharma AG,TASE,GBP,Industrial,IL
BSU,Vertex Systems Corp,NASDAQ,EUR,Utilities,UK
IGRIG,Alpha Media Corp,NYSE,USD,Financials,NL
KCIRN,Delta Logistics Inc,FWB,USD,Telecom,FR
BFG,Delta Energy Inc,NASDAQ,EUR,Utilities,US
WOO,Quantum Energy AG,FWB,EUR,Energy,US
AFD,Beta Media Inc,NYSE,USD,Utilities,FR
WID,Delta Brands Corp,NYSE,USD,Technology,NL
GJQJR,Apex Quantum Ltd,NASDAQ,ILS,Energy,US
IFZBF,Gamma Quantum PLC,NYSE,ILS,Technology,US
AXM,Delta Brands Inc,TASE,EUR,Healthcare,US
QPC,Nimbus Systems Corp,NYSE,USD,Consumer,IL
ZMMY,Omega Quantum Corp,FWB,EUR,Technology,IL
JURY,Gamma Systems AG,FWB,GBP,Energy,DE
AKML,Omega Quantum AG,FWB,EUR,Healthcare,UK
RJOI,Vertex Pharma PLC,FWB,EUR,Technology,FR
KFNI,Prime Tech AG,TASE,ILS,Financials,FR
ZMGPF,Gamma Capital PLC,LSE,ILS,Utilities,FR
QWPSB,Gamma Systems PLC,NASDAQ,ILS,Consumer,DE
AOJU,Prime Media PLC,FWB,GBP,Technology,IL
SEHZP,Nimbus Energy Ltd,NYSE,ILS,Healthcare,NL
WKQEY,Prime Media Inc,FWB,USD,Financials,NL
HPZMD,Beta Logistics Corp,NYSE,USD,Industrial,DE
USFP,Omega Systems Ltd,NYSE,USD,Healthcare,NL
PYO,Quantum Systems Corp,FWB,USD,Utilities,FR
PJAWE,Alpha Pharma Ltd,TASE,ILS,Healthcare,UK
YBU,Apex Pharma Corp,NYSE,USD,Financials,US
YFA,Prime Brands Ltd,NYSE,USD,Healthcare,IL
AWBKJ,Delta Media AG,FWB,USD,Financials,IL
XUWX,Apex Energy AG,NYSE,GBP,Technology,DE
MITJY,Vertex Quantum PLC,NYSE,ILS,Telecom,IL
NOT,Nimbus Media AG,FWB,USD,Financials,FR
AJLY,Alpha Tech Inc,FWB,GBP,Financials,NL
VUFA,Quantum Tech Inc,NASDAQ,EUR,Consumer,FR
MFOYS,Gamma Media Ltd,TASE,EUR,Financials,DE
JTON,Alpha Logistics PLC,TASE,GBP,Financials,FR
PVAU,Gamma Energy PLC,NYSE,GBP,Industrial,NL
RJK,Omega Pharma AG,TASE,ILS,Telecom,UK
BLHH,Omega Pharma AG,NYSE,ILS,Technology,DE
SYZXC,Gamma Tech Ltd,NASDAQ,EUR,Utilities,UK
PZVHJ,Omega Brands Ltd,FWB,USD,Consumer,US
LCRVI,Beta Pharma Inc,FWB,EUR,Industrial,UK
YBY,Delta Media Inc,FWB,USD,Energy,US
PSBT,Gamma Quantum PLC,TASE,USD,Telecom,US
AHTX,Vertex Media Inc,NASDAQ,ILS,Technology,UK
YHSK,Alpha Systems Inc,TASE,USD,Technology,DE
RONV,Prime Capital Ltd,TASE,USD,Energy,NL
UIKD,Beta Brands Ltd,NASDAQ,GBP,Utilities,FR
XVB,Beta Pharma Inc,NASDAQ,ILS,Financials,FR
OPUVG,Apex Systems AG,NASDAQ,USD,Industrial,NL
GBA,Gamma Logistics PLC,NASDAQ,USD,Healthcare,US
FVOPV,Gamma Pharma Corp,FWB,USD,Consumer,US
ITY,Nimbus Tech Corp,LSE,USD,Healthcare,DE
UFUF,Gamma Media AG,LSE,USD,Energy,IL
RTYK,Delta Capital Ltd,NASDAQ,USD,Technology,UK
GCLLZ,Nimbus Media PLC,LSE,ILS,Utilities,US
QGJ,Beta Pharma PLC,LSE,EUR,Technology,FR
GLHTL,Beta Quantum Ltd,NASDAQ,USD,Consumer,DE
KUL,Apex Logistics AG,LSE,ILS,Technology,UK
NXVG,Gamma Brands AG,TASE,ILS,Technology,DE
DRAY,Beta Brands Corp,NYSE,ILS,Consumer,UK
HSSU,Nimbus Quantum Corp,NYSE,ILS,Industrial,UK
RNQ,Omega Tech AG,NASDAQ,ILS,Industrial,NL
MBTTD,Delta AI Corp,FWB,GBP,Consumer,US
ZJSXT,Vertex Brands Ltd,NASDAQ,USD,Utilities,DE
KDIJV,Omega Tech PLC,FWB,ILS,Energy,DE
VOYZR,Quantum Logistics Inc,NYSE,USD,Telecom,NL
YIJUV,Delta Media Corp,NASDAQ,GBP,Technology,FR
MURH,Beta AI Inc,TASE,GBP,Utilities,FR
LVQP,Apex Systems PLC,LSE,USD,Technology,US
ENGF,Prime Quantum Ltd,FWB,USD,Telecom,US
LEWLT,Apex AI PLC,LSE,EUR,Energy,IL
QGXD,Quantum Pharma Inc,LSE,USD,Industrial,NL
WTAOP,Nimbus Pharma Inc,NASDAQ,USD,Utilities,FR
IRRD,Omega Brands Inc,LSE,USD,Financials,UK
ZHWU,Alpha Logistics Corp,TASE,ILS,Financials,DE
UGFOQ,Omega AI Ltd,LSE,GBP,Telecom,US
NIEX,Prime Logistics Inc,NASDAQ,USD,Financials,DE
FITJ,Vertex AI Corp,TASE,GBP,Industrial,DE
MCKL,Gamma Energy Inc,NYSE,USD,Telecom,IL
UWVG,Omega Pharma Corp,LSE,EUR,Industrial,FR
GGD,Delta Capital Corp,NASDAQ,USD,Energy,US
WMF,Apex Logistics Corp,NYSE,USD,Technology,DE
XMDWL,Beta Energy Ltd,NYSE,ILS,Energy,US
PSNV,Delta Tech PLC,FWB,EUR,Energy,UK
IIZ,Beta Logistics Inc,TASE,USD,Industrial,IL
