Customer_ID,tradeDate,ticker,Side,Quantity,Px,TradeCurrency,FeeUSD
C100764,2025-08-07,OER,BUY,448,118.59,ILS,
C100485,2025-08-18,SXRVQ,BUY,467,251.88,USD,6.36
C100295,2025-08-07,TTLY,SELL,-338,115.0,GBP,
C100984,2025-06-18,UZW,BUY,439,341.1,GBP,
C100979,2025-07-18,LVV,SELL,-265,168.62,GBP,
C100276,2025-07-16,DGFQX,BUY,417,9.2,ILS,
C100472,2025-07-04,HQPT,BUY,396,255.5,GBP,
C100693,2025-07-28,GGOC,BUY,344,385.33,USD,7.31
C100688,2025-06-03,mknxr,BUY,376,326.8,ILS,
C100100,2025-08-20,UAOYK,BUY,180,293.94,GBP,
C100224,2025-07-16,QWO,SELL,-289,397.76,EUR,
C100034,2025-06-11,SYQ,BUY,151,250.58,EUR,
C100973,2025-06-23,CTG,BUY,212,347.97,USD,2.79
C100876,2025-08-07,QUBR,BUY,147,170.64,EUR,
C100917,2025-07-16,AOJU,BUY,180,133.82,GBP,
C100478,2025-08-21,IZQLN,BUY,43,327.93,GBP,
C100787,2025-07-16,QZIZI,SELL,-416,303.46,EUR,
C100799,2025-06-11,BTQGT,SELL,-185,305.18,ILS,
C100397,2025-07-17,HLT,BUY,295,185.71,GBP,
C100182,2025-08-27,VKB,BUY,360,142.17,EUR,
C100624,2025-08-27,BVCC,BUY,123,282.74,USD,2.93
C100147,2025-07-09,wvaw,SELL,-108,322.33,USD,4.29
C100934,2025-06-19,SNZBL,SELL,-243,233.43,USD,5.14
C100074,2025-08-20,QLRX,SELL,-152,77.0,USD,2.3
C100918,2025-06-02,AWOK,BUY,42,187.25,USD,5.31
C100680,2025-06-27,LMHK,SELL,-26,147.67,GBP,
C100926,2025-09-01,THX,BUY,97,141.72,ILS,
C100489,2025-06-12,HYQTC,SELL,-123,247.49,EUR,
C100003,2025-06-23,YADL,SELL,-121,111.49,GBP,
C100341,2025-08-12,QZIUC,SELL,-131,274.44,USD,1.83
C100647,2025-08-05,USRM,BUY,107,338.26,GBP,
C100082,2025-07-23,MLFM,SELL,-70,234.77,EUR,
C100180,2025-08-08,AOC,BUY,227,259.99,EUR,
C100306,2025-06-19,CPIKH,SELL,-227,52.96,GBP,
C100498,2025-07-04,AFD,SELL,-441,392.14,EUR,
C100036,2025-07-14,HSSU,BUY,150,89.04,ILS,
C100398,2025-08-28,NLZBM,SELL,-409,141.43,ILS,
C100989,2025-07-31,RKTA,BUY,159,162.35,USD,5.91
C100345,2025-08-12,IHYA,BUY,175,145.55,USD,2.29
C100216,2025-06-27,IYFI,SELL,-215,6.67,EUR,
C100947,2025-06-26,QLRX,BUY,431,209.09,ILS,
C100669,2025-06-09,WRL,SELL,-325,348.22,EUR,
C100718,2025-06-03,QIZZ,BUY,394,49.82,EUR,
C100647,2025-06-18,JFG,SELL,-94,294.54,ILS,
C100625,2025-06-19,GBA,BUY,166,237.3,USD,4.05
C100509,2025-06-12,PTCVZ,BUY,420,50.74,EUR,
C100436,2025-07-29,IMG,SELL,-82,223.21,USD,4.7
C100999,2025-07-29,JYS,BUY,190,361.51,EUR,
C100782,2025-07-30,ZIKTN,BUY,148,212.36,USD,2.66
C100123,2025-08-14,YNZO,BUY,293,35.25,EUR,
C100713,2025-08-19,RMAH,BUY,316,120.37,EUR,
C100947,2025-06-25,JJH,BUY,336,295.98,USD,6.71
C100810,2025-06-30,GSHRU,SELL,-422,126.13,USD,6.5
C100900,2025-06-02,aqhw,BUY,169,366.02,USD,2.9
C100183,2025-07-22,TTLY,BUY,53,128.09,ILS,
C100710,2025-06-24,IYFI,SELL,-436,205.16,EUR,
C100146,2025-08-20,OTEN,SELL,-69,363.34,ILS,
C100244,2025-06-06,TEDO,BUY,61,189.23,EUR,
C100734,2025-07-24,HOO,BUY,380,110.13,GBP,
C100428,2025-07-04,BBYX,BUY,264,137.02,USD,7.45
C100542,2025-08-05,VQPD,BUY,391,208.99,EUR,
C100475,2025-07-21,HJD,BUY,443,10.59,USD,8.73
C100198,2025-08-25,SEHZP,BUY,374,64.62,ILS,
C100180,2025-06-10,AHTX,BUY,475,213.83,GBP,
C100291,2025-07-16,ENGF,SELL,-412,397.0,GBP,
C100631,2025-06-09,ZVW,SELL,-497,218.92,USD,7.27
C100758,2025-06-30,GBP,BUY,423,394.81,USD,6.98
C100496,2025-06-13,ITQ,BUY,17,392.29,EUR,
C100738,2025-08-14,NWWHU,SELL,-483,12.36,EUR,
C100765,2025-07-11,JBM,SELL,-261,269.39,USD,3.62
C100333,2025-07-14,MCKL,BUY,284,250.58,ILS,
